Epoch: 149 (Saved at 138), Train Loss: 63.793, Validation Loss: 33.589 (5.697), Epoch time: 30.054 s, LR = 0.00200000
Epoch: 150 (Saved at 138), Train Loss: 62.431, Validation Loss: 35.609 (5.152), Epoch time: 30.883 s, LR = 0.00200000
Epoch: 151 (Saved at 138), Train Loss: 60.545, Validation Loss: 36.372 (5.091), Epoch time: 30.905 s, LR = 0.00200000
Epoch: 152 (Saved at 138), Train Loss: 57.739, Validation Loss: 33.122 (4.803), Epoch time: 31.201 s, LR = 0.00200000
Epoch: 153 (Saved at 138), Train Loss: 56.015, Validation Loss: 34.319 (5.684), Epoch time: 31.122 s, LR = 0.00200000
Epoch: 154 (Saved at 138), Train Loss: 65.366, Validation Loss: 34.997 (5.482), Epoch time: 31.663 s, LR = 0.00200000
Epoch: 155 (Saved at 138), Train Loss: 60.597, Validation Loss: 37.420 (4.480), Epoch time: 30.282 s, LR = 0.00200000
Epoch: 156 (Saved at 138), Train Loss: 58.937, Validation Loss: 36.506 (4.758), Epoch time: 30.501 s, LR = 0.00200000
Epoch: 157 (Saved at 138), Train Loss: 60.900, Validation Loss: 34.943 (4.771), Epoch time: 30.819 s, LR = 0.00200000
Epoch: 158 (Saved at 138), Train Loss: 56.040, Validation Loss: 34.805 (5.703), Epoch time: 31.039 s, LR = 0.00200000
Epoch: 159 (Saved at 138), Train Loss: 57.811, Validation Loss: 34.000 (6.005), Epoch time: 30.445 s, LR = 0.00200000
Epoch: 160 (Saved at 138), Train Loss: 61.188, Validation Loss: 33.403 (5.823), Epoch time: 30.878 s, LR = 0.00200000
Epoch: 161 (Saved at 138), Train Loss: 56.685, Validation Loss: 33.076 (6.049), Epoch time: 31.061 s, LR = 0.00200000
Epoch: 162 (Saved at 138), Train Loss: 60.737, Validation Loss: 31.608 (5.417), Epoch time: 31.697 s, LR = 0.00200000
Epoch: 163 (Saved at 138), Train Loss: 63.220, Validation Loss: 32.735 (5.108), Epoch time: 30.980 s, LR = 0.00200000
Epoch: 164 (Saved at 138), Train Loss: 55.783, Validation Loss: 35.178 (5.820), Epoch time: 31.294 s, LR = 0.00200000
Epoch: 165 (Saved at 138), Train Loss: 58.752, Validation Loss: 33.616 (5.818), Epoch time: 31.072 s, LR = 0.00200000
Epoch: 166 (Saved at 138), Train Loss: 59.930, Validation Loss: 34.370 (5.410), Epoch time: 30.958 s, LR = 0.00200000
Epoch: 167 (Saved at 138), Train Loss: 59.697, Validation Loss: 31.980 (5.195), Epoch time: 31.064 s, LR = 0.00200000
Epoch: 168 (Saved at 138), Train Loss: 57.419, Validation Loss: 35.071 (5.530), Epoch time: 30.586 s, LR = 0.00200000
Epoch: 169 (Saved at 138), Train Loss: 59.102, Validation Loss: 32.620 (5.553), Epoch time: 30.782 s, LR = 0.00200000
Epoch: 170 (Saved at 138), Train Loss: 58.730, Validation Loss: 33.000 (5.370), Epoch time: 30.510 s, LR = 0.00200000
Epoch: 171 (Saved at 138), Train Loss: 56.218, Validation Loss: 32.990 (5.242), Epoch time: 30.491 s, LR = 0.00200000
Epoch: 172 (Saved at 138), Train Loss: 53.636, Validation Loss: 36.179 (5.024), Epoch time: 31.302 s, LR = 0.00200000
Epoch: 173 (Saved at 138), Train Loss: 61.925, Validation Loss: 34.125 (5.278), Epoch time: 31.010 s, LR = 0.00200000
Epoch: 174 (Saved at 174), Train Loss: 59.933, Validation Loss: 31.437 (5.784), Epoch time: 30.985 s, LR = 0.00200000
Epoch: 175 (Saved at 174), Train Loss: 56.743, Validation Loss: 32.050 (5.640), Epoch time: 30.815 s, LR = 0.00200000
Epoch: 176 (Saved at 174), Train Loss: 61.955, Validation Loss: 31.468 (5.730), Epoch time: 30.507 s, LR = 0.00200000
Epoch: 177 (Saved at 174), Train Loss: 56.525, Validation Loss: 34.502 (5.171), Epoch time: 29.598 s, LR = 0.00200000
Epoch: 178 (Saved at 174), Train Loss: 63.538, Validation Loss: 32.675 (5.612), Epoch time: 30.248 s, LR = 0.00200000
Epoch: 179 (Saved at 174), Train Loss: 55.636, Validation Loss: 31.711 (4.631), Epoch time: 29.762 s, LR = 0.00200000
Epoch: 180 (Saved at 174), Train Loss: 60.286, Validation Loss: 33.157 (5.267), Epoch time: 30.851 s, LR = 0.00200000
Epoch: 181 (Saved at 181), Train Loss: 54.229, Validation Loss: 29.960 (4.899), Epoch time: 31.514 s, LR = 0.00200000
Epoch: 182 (Saved at 181), Train Loss: 52.881, Validation Loss: 30.603 (5.022), Epoch time: 30.643 s, LR = 0.00200000
Epoch: 183 (Saved at 181), Train Loss: 55.025, Validation Loss: 30.847 (5.251), Epoch time: 31.067 s, LR = 0.00200000
Epoch: 184 (Saved at 181), Train Loss: 57.071, Validation Loss: 33.403 (5.088), Epoch time: 31.693 s, LR = 0.00200000
Epoch: 185 (Saved at 185), Train Loss: 61.647, Validation Loss: 29.289 (5.073), Epoch time: 31.528 s, LR = 0.00200000
Epoch: 186 (Saved at 185), Train Loss: 55.246, Validation Loss: 33.769 (5.272), Epoch time: 31.338 s, LR = 0.00200000
Epoch: 187 (Saved at 185), Train Loss: 52.638, Validation Loss: 31.609 (5.215), Epoch time: 32.188 s, LR = 0.00200000
Epoch: 188 (Saved at 185), Train Loss: 57.814, Validation Loss: 32.234 (4.727), Epoch time: 31.320 s, LR = 0.00200000
Epoch: 189 (Saved at 185), Train Loss: 56.868, Validation Loss: 33.095 (5.171), Epoch time: 30.789 s, LR = 0.00200000
Epoch: 190 (Saved at 185), Train Loss: 58.185, Validation Loss: 29.663 (5.064), Epoch time: 30.479 s, LR = 0.00200000
Epoch: 191 (Saved at 185), Train Loss: 50.927, Validation Loss: 33.414 (5.019), Epoch time: 31.267 s, LR = 0.00200000
Epoch: 192 (Saved at 185), Train Loss: 56.626, Validation Loss: 34.765 (4.999), Epoch time: 30.710 s, LR = 0.00200000
Epoch: 193 (Saved at 185), Train Loss: 57.685, Validation Loss: 32.534 (5.079), Epoch time: 31.082 s, LR = 0.00200000
Epoch: 194 (Saved at 185), Train Loss: 57.180, Validation Loss: 35.918 (5.478), Epoch time: 30.848 s, LR = 0.00200000
Epoch: 195 (Saved at 185), Train Loss: 57.244, Validation Loss: 35.451 (5.767), Epoch time: 30.125 s, LR = 0.00200000
Epoch: 196 (Saved at 185), Train Loss: 58.635, Validation Loss: 34.478 (6.183), Epoch time: 30.996 s, LR = 0.00200000
Epoch: 197 (Saved at 185), Train Loss: 52.454, Validation Loss: 33.898 (5.783), Epoch time: 30.249 s, LR = 0.00200000
Epoch: 198 (Saved at 185), Train Loss: 55.586, Validation Loss: 40.092 (5.617), Epoch time: 30.545 s, LR = 0.00200000
